SUC DESTINO;SKU;# TRANSF;DESCRIPTION;FECHA;SHIP;SHIP.1
IÑAQUITO;204154925;1513238;CHEETOS BOCADITOS DE MAIZ MEGA QUESO 42GR;31/3/2026;28;1,00
IÑAQUITO;31063;1513238;CHERRY BETUN LIQUIDO NEGRO 60 ML.;31/3/2026;12;1,00
IÑAQUITO;60679;1513238;PARA MI BEBE TALCO MANZANILLA 100 GR.;31/3/2026;12;1,00
IÑAQUITO;102949;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG MEGA 32 M X 4 UNI;31/3/2026;20;2,00
IÑAQUITO;181954929;1513238;PODEROX QUITAMANCHAS LÍQUIDO 500ML.;31/3/2026;24;1,00
IÑAQUITO;135503174;1513238;CONDIMENSA VINAGRE DE MANZANA 1 LT;31/3/2026;12;1,00
IÑAQUITO;120401247;1513238;BIG GASEOSA SABOR A MANZANA PET 300 ML;31/3/2026;24;1,00
IÑAQUITO;50182;1513238;MEDALLA DE ORO HARINA 9 KG.;31/3/2026;3;3,00
IÑAQUITO;46375;1513238;CARICIA BROCHETAS FESTIVAL 15CM X 100 UN.;31/3/2026;25;1,00
IÑAQUITO;172205820;1513238;RUFFLES PAPAS LIMON TWIST 136G;31/3/2026;21;1,00
IÑAQUITO;36990;1513238;MAGGI MOSTAZA DOY PACK 500 GR.;31/3/2026;24;1,00
IÑAQUITO;175554275;1513238;SAPOLIO AMBIENTADOR AROMA ANTITABACO 360 ML;31/3/2026;12;1,00
IÑAQUITO;33130;1513238;SAN CARLOS AZUCAR BLANCA 5 KG.;31/3/2026;6;1,00
IÑAQUITO;135153047;1513238;TRU LECHE SEMIDESCREMADA 1LT;31/3/2026;24;2,00
IÑAQUITO;97664;1513238;BIANCHI CARAMELO CHOCOLATE BLANCO 400 GR.;31/3/2026;18;1,00
IÑAQUITO;32612;1513238;VAN CAMPS ATUN EN ACEITE ABRE FACIL 184 GR.;31/3/2026;96;2,00
IÑAQUITO;117001795;1513238;HUGGIES TOALLAS HUMEDAS MEGA PROMO 3 X 96UND C/U;31/3/2026;6;1,00
IÑAQUITO;129651200;1513238;NIVEA DEO SPRAY SATIN 150ML 2DO 50% DTO.;31/3/2026;6;1,00
IÑAQUITO;97679;1513238;CONDIMENSA LAUREL HOJA FUNDA 15 GR.;31/3/2026;25;1,00
IÑAQUITO;27227;1513238;SABORA AJO FUNDA 50 GR.;31/3/2026;12;0,08
IÑAQUITO;154103011;1513238;OLÉ TOTOPOS TORTILLA DE MAÍZ NATURAL 300g;31/3/2026;12;1,00
IÑAQUITO;27286;1513238;AJI-NO-MOTO SAZONADOR FUNDA 100 GR.;31/3/2026;15;0,08
IÑAQUITO;183705011;1513238;SAHARA SHAMPOO SIN SAL CEBOLLA 1L;31/3/2026;12;1,00
IÑAQUITO;84242;1513238;TIPS AMBIENTAL PASTILLA CAMPOS DE JAZMIN 95 GR.;31/3/2026;24;1,00
IÑAQUITO;201454922;1513238;LA VAQUITA LECHE ENTERA UHT FOURPACK 1LT;31/3/2026;2;1,00
IÑAQUITO;78050;1513238;LISTERINE ENJUAGUE BUCAL ZERO 500 ML.;31/3/2026;12;1,00
IÑAQUITO;137752941;1513238;ELITE PAPEL HIGIENICO MANZANILLA 35M X4/12;31/3/2026;12;1,00
IÑAQUITO;133901232;1513238;GOLDERY REPUESTO DE  FILM 100 METROS;31/3/2026;24;1,00
IÑAQUITO;158952941;1513238;NIVEA CREMA CORPORAL MILK NUTRITIVA 400 ML;31/3/2026;9;0,75
IÑAQUITO;141852952;1513238;PARA MI BEBÉ JABON LIQUIDO GLICERINA 500 ML;31/3/2026;12;1,00
IÑAQUITO;28990;1513238;KALIPTO DESINFECTANTE FRESCURA MARINA 2 LT.;31/3/2026;6;1,00
IÑAQUITO;189455067;1513238;TONI LECHE SEMIDESCREMADA TETRAPACK 1000 ML;31/3/2026;12;1,00
IÑAQUITO;108600198;1513238;LA BRUJITA ESCOBA NEON UN;31/3/2026;12;1,00
IÑAQUITO;49807;1513238;ALESOL ACEITE CON ACHIOTE 200 ML.;31/3/2026;30;1,00
IÑAQUITO;29087;1513238;LAVA CREMA LAVAVAJILLA FLORAL MANZANA 450 GR.;31/3/2026;18;1,00
IÑAQUITO;85554;1513238;LAVA BARRA LAVAVAJILLA ARRANCA GRASA 200 GR.;31/3/2026;48;1,00
IÑAQUITO;44331;1513238;MR.MUSCULO ANTIGRASA ACCION NARANJA PISTOLA 500 ML.;31/3/2026;12;1,00
IÑAQUITO;28268;1513238;PULVAPIES DESODORANTE SPRAY PREVENTIVO 200 ML.;31/3/2026;24;1,00
IÑAQUITO;140053024;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG XG 26M X18/4;31/3/2026;8;2,00
IÑAQUITO;31875;1513238;K-CHITOS FIESTA 170 GR;31/3/2026;12;1,00
IÑAQUITO;170102974;1513238;LUSTRE ESPONJA MAGICA X 2;31/3/2026;20;1,00
IÑAQUITO;198504959;1513238;EL SABOR CURCUMA EN POLVO 50GR;31/3/2026;24;1,00
IÑAQUITO;154603226;1513238;VANISH ROSA PACK 900ML+130ML;31/3/2026;6;1,00
IÑAQUITO;193604900;1513238;OREO GALLETA SABOR A VAINILLA ROLLO 135 GR;31/3/2026;30;1,00
IÑAQUITO;123002751;1513238;CICLON DETERGENTE EN POLVO XPOWER FLORAL FUNDA 350GR;31/3/2026;30;1,00
IÑAQUITO;33356;1513238;TIPS PASTILLA BAÑO ANTIBACTERIAL FRUTILLA 90 GR.;31/3/2026;24;1,00
IÑAQUITO;132101567;1513238;AXE PACK DESODORANTE BS ICE CHILL 150ML;31/3/2026;6;1,00
IÑAQUITO;132501501;1513238;NUTRIBELA 10 BIOKERATINA SACHET 70 ML;31/3/2026;14;0,17
IÑAQUITO;58350;1513238;SANTA MARIA AZUCAR BLANCA 5 KG.;31/3/2026;24;4,00
IÑAQUITO;200905066;1513238;FAMILIA SERVILLETA GREEN DÍA A DÍA FIBRA RECICLADA  EXTRA PACK X 200 UN;31/3/2026;20;1,00
IÑAQUITO;33375;1513238;TIPS DESINFECTANTE FRUTILLA 1 LT.;31/3/2026;12;1,00
IÑAQUITO;204655738;1513238;CURITAS TRANSPIEL 20 UNIDADES;31/3/2026;12;1,00
IÑAQUITO;67498;1513238;MASTER GUANTE BI-COLOR DOMESTICO C-22 #7 1/2;31/3/2026;12;1,00
IÑAQUITO;27575;1513238;VAN CAMPS ATUN EN ACEITE 184 GR.;31/3/2026;48;1,00
IÑAQUITO;84571;1513238;SAN CARLOS AZUCAR BLANCA 100 STICKS 500 GR;31/3/2026;24;1,00
IÑAQUITO;132101250;1513238;DON VITTORIO SPAGUETTI 950 GR;31/3/2026;12;1,00
IÑAQUITO;192855011;1513238;KIYÚ ACONDICIONADOR CON KERATINA COCO ALOE DOYPACK 650ML;31/3/2026;12;1,00
IÑAQUITO;122951234;1513238;NOVA TOALLA CLASICA LLEVE3 PAGUE 2;31/3/2026;8;1,00
IÑAQUITO;60327;1513238;POMPI FRESH 4PACK X160;31/3/2026;8;1,00
IÑAQUITO;169003629;1513238;KINOE CREMA PARA PEINAR ELIXIR 4 OLEOS RIZOS 275ML;31/3/2026;12;1,00
IÑAQUITO;207504898;1513238;NUTRIBELA PACK SHAMPOO BIOCOLAGENO 400ML+ACONDICIONADOR 370ML+TRATAMIENTO 300ML;31/3/2026;6;1,00
IÑAQUITO;28932;1513238;FAST CLORO GALON 3.8 LT.;31/3/2026;6;1,00
IÑAQUITO;199805374;1513238;CONDIMENSA MIEL DE ABEJA FRASCO 230 GR;31/3/2026;16;1,00
IÑAQUITO;46344;1513238;CARICIA BROCHETAS FESTIVAL 10CM X 100 UN.;31/3/2026;25;1,00
IÑAQUITO;132901880;1513238;PRODICEREAL MANI MOLIDO DOYPACK 250 GR;31/3/2026;25;1,00
IÑAQUITO;186605349;1513238;DANNY SERVILLETAS CLÁSICA X 300UN.;31/3/2026;60;3,00
IÑAQUITO;201854993;1513238;CRUZEIRO CAFÉ  LIOFILIZADO  DOYPACK 50 GR;31/3/2026;24;1,00
IÑAQUITO;170903093;1513238;TRU LECHE EVAPORADA 500ML;31/3/2026;6;1,00
IÑAQUITO;31331;1513238;FESTIVAL PINCHOS REDONDOS DE 30CM X 100 UN.;31/3/2026;25;1,00
IÑAQUITO;49325;1513238;VITA LECHE UHT DESLACTOSADA  1 LT.;31/3/2026;12;1,00
IÑAQUITO;28830;1513238;LUSTRE ESPONJA DE ACERO X 6 UN.;31/3/2026;20;1,00
IÑAQUITO;144603193;1513238;LAVA CREMA LAVAVAJILLA MANZANA 235 GR.;31/3/2026;36;1,00
IÑAQUITO;104354;1513238;CONDIMENSA PIMIENTA DE OLOR 25GR;31/3/2026;25;1,00
IÑAQUITO;40237;1513238;DON VITTORIO FIDEO CABELLO DE ANGEL 400 GR.;31/3/2026;24;1,00
IÑAQUITO;97717;1513238;CONDIMENSA CLAVO DE OLOR 50 GR.;31/3/2026;25;1,00
IÑAQUITO;168152964;1513238;LAVA CREMA LAVAVAJILLA UVA 900 G;31/3/2026;24;2,00
IÑAQUITO;72096;1513238;AXION LAVAVAJILLA CREMA AVENA 450 GR;31/3/2026;24;1,00
IÑAQUITO;108600112;1513238;FACUNDO TRIPACK MAIZ DULCE C/U 227 GR;31/3/2026;8;1,00
IÑAQUITO;117601029;1513238;GRANUTS MEZCLA MANI MAIZ ALMENDRAS Y ARANDANOS DE 40 GR.;31/3/2026;48;1,00
IÑAQUITO;28921;1513238;TIPS AMBIENTAL PASTILLA FRUTILLA 95 GR.;31/3/2026;24;1,00
IÑAQUITO;188354900;1513238;ISABEL ATUN EN ACEITE DE GIRASOL ABRE FACIL 142 GR;31/3/2026;48;1,00
IÑAQUITO;135502964;1513238;COCOLON ARROZ MACARENO 4LB;31/3/2026;20;1,00
IÑAQUITO;205355024;1513238;HADA PAPEL HIGENICO JUMBO 1U 200M;31/3/2026;4;1,00
IÑAQUITO;79006;1513238;MR.MUSCULO LIMPIADOR LIQUIDO BAÑO REPUESTO 500 ML.;31/3/2026;12;1,00
IÑAQUITO;27948;1513238;SNOB MERMELADA GUAYABA 290 GR.;31/3/2026;12;1,00
IÑAQUITO;133751369;1513238;BANQUETE ARROZ ENVEJECIDO 5 KG.;31/3/2026;8;1,00
IÑAQUITO;72087;1513238;MACHICA QUINTAL 45.36 KG;31/3/2026;1;1,00
IÑAQUITO;125001226;1513238;VITA SIXPACK LECHE UHT ENTERA 1 LT;31/3/2026;2;1,00
IÑAQUITO;36385;1513238;LAVA CREMA LAVAVAJILLA X 5 KG.;31/3/2026;4;1,00
IÑAQUITO;33103;1513238;JOHNSON´S BABY SHAMPOO ORIGINAL 400 ML.;31/3/2026;12;1,00
IÑAQUITO;76929;1513238;DELVERANO CIRUELA SIN SEMILLA 200 GR.;31/3/2026;24;1,00
IÑAQUITO;44175;1513238;LIFE ENDULZANTE NATURAL X 100 UN.;31/3/2026;24;2,00
IÑAQUITO;162553003;1513238;LAVATODO LAVAVAJILLA LIMÓN 550ML;31/3/2026;12;1,00
IÑAQUITO;75883;1513238;TIPS LIMPIA VIDRIOS AMONIAC PISTOLA 500 ML.;31/3/2026;12;1,00
IÑAQUITO;118000735;1513238;ESTRELLA FIBRA PARA CORTAR UN;31/3/2026;50;1,00
IÑAQUITO;208955156;1513238;CONDIMENSA COMINO MOLIDO 50 GR;31/3/2026;16;1,00
IÑAQUITO;28140;1513238;MATERNITY TOALLA SANITARIA MAXI X 10 UN.;31/3/2026;32;1,00
IÑAQUITO;183455015;1513238;RICOMPLETO CALDO DE GALLINA CRIOLLA 8 SOBRES 72 GR;31/3/2026;24;1,00
IÑAQUITO;96603;1513238;ESTRELLA ESPONJA MIXTA COMBY;31/3/2026;10;1,00
IÑAQUITO;28963;1513238;POLWAX CERA DE PISOS ROJA 4 LT.;31/3/2026;8;2,00
IÑAQUITO;43629;1513238;MAX PRELAVADO CUELLOS Y PUÑOS REPUESTO;31/3/2026;12;1,00
IÑAQUITO;209855202;1513238;CHOCOLISTO CHOCOLATE FUNDA 380 GR.;31/3/2026;12;1,00
IÑAQUITO;29015;1513238;SAPOLIO INSECTICIDA AEROSOL MATA MOSCAS/ZANCUDO;31/3/2026;12;1,00
IÑAQUITO;163453805;1513238;ESTRELLA GUANTE DOMESTICO AMARILLO TALLA 7 1/2 UN;31/3/2026;12;1,00
IÑAQUITO;27743;1513238;REGIA MARGARINA 1 KG.;31/3/2026;12;1,00
IÑAQUITO;138103096;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG XG 26M X4/10;31/3/2026;10;1,00
IÑAQUITO;120850739;1513238;CONDIMENSA VINAGRE DE MANZANA 450 ML;31/3/2026;15;1,00
IÑAQUITO;29428;1513238;JOICE RINSE HIERBAS 4 LT.;31/3/2026;6;1,00
IÑAQUITO;97618;1513238;KALIPTO DESINFECTANTE DOY PACK EUCALIPTO 500 ML.;31/3/2026;36;2,00
IÑAQUITO;135802975;1513238;SANTA MARIA ARROZ MACAREÑO 10 KG.;31/3/2026;6;6,00
IÑAQUITO;142803781;1513238;SANTA MARIA ALIMENTO PARA PERROS 15KG;31/3/2026;1;1,00
IÑAQUITO;152053769;1513238;PACK X 4 ESTRELLA ESPONJA MIXTA 4X3;31/3/2026;24;1,00
IÑAQUITO;208955181;1513238;CONDIMENSA SAZONADOR FINAS HIERBAS 50 GR;31/3/2026;16;1,00
IÑAQUITO;183106801;1513238;MASTER GUANTE  DOMESTICO CORRUGADO TALLA 7.5 UN.;31/3/2026;12;1,00
IÑAQUITO;98970;1513238;NOSOTRAS TAMPON DIGITAL REGULAR X 10 UN.;31/3/2026;12;1,00
IÑAQUITO;143653084;1513238;ZAGAZ LAVAPLATOS CITRUS POWER 425GR.;31/3/2026;16;1,00
IÑAQUITO;27393;1513238;HORNIMANS TE X 100 FUNDAS UN.;31/3/2026;8;1,00
IÑAQUITO;182105081;1513238;EL SABOR VINAGRE 250 ML;31/3/2026;12;1,00
IÑAQUITO;145802987;1513238;PANOLINI TOALLITAS ALOE FLOWPACK PAGUE 240 LLEVE 300;31/3/2026;12;2,00
IÑAQUITO;206555010;1513238;SAVITAL PACK SHAMPOO ELIXIR 510ML+ACONDICIONADOR ELIXIR 490ML;31/3/2026;6;1,00
IÑAQUITO;172555045;1513238;SANTA MARIA ACEITE GIRASOL 1LT;31/3/2026;15;1,00
IÑAQUITO;112750105;1513238;VENUS RASURADORA DESECHABLE MUJER SIMPLY UN;31/3/2026;16;0,20
IÑAQUITO;77295;1513238;CLOROX CLORO REGULAR 1 LT.;31/3/2026;12;1,00
IÑAQUITO;31406;1513238;"NARIBEH FUNDA DE BASURA GRANDE ""23X28"" X 10 UN.";31/3/2026;100;1,00
IÑAQUITO;97760;1513238;RUFFLES PAPA NATURAL ALMOHADA 300 GR 25 GR C/U;31/3/2026;7;1,00
IÑAQUITO;69646;1513238;AROMA NATURAL OREGANO EN HOJA 30 GR.;31/3/2026;25;1,00
IÑAQUITO;205955020;1513238;COMBO SNACKS SUPERMIX ALMOHADA 392GR;31/3/2026;5;1,00
IÑAQUITO;207805009;1513238;TIPS AMBIENTAL SPRAY BRISAS DE LAVANDA 360 ML.;31/3/2026;12;1,00
IÑAQUITO;111287;1513238;COLGATE CREMA DENTAL SENSITIVE PRO-ALIVIO 75ML;31/3/2026;12;1,00
IÑAQUITO;186904904;1513238;SANTA MARIA DETERGENTE LÍQUIDO LAVANDA DOYPACK 1.8LT;31/3/2026;12;1,00
IÑAQUITO;27820;1513238;ORIENTAL TALLARIN FIDEO RAPIDITO CARNE 100 GR.;31/3/2026;24;1,00
IÑAQUITO;71143;1513238;DOVE DESODORANTE BARRA INVISIBLE CARE 45 GR.;31/3/2026;12;1,00
IÑAQUITO;190755294;1513238;PANTENE ACONDICIONADOR BAMBU 200 ML.;31/3/2026;12;1,00
IÑAQUITO;121200682;1513238;"DIAFANO PAPEL ENCERADO 75"" X 24U";31/3/2026;24;1,00
IÑAQUITO;109027;1513238;GLADE AMBIENTAL AEROSOL HAWAIAN BREZE 400 ML.;31/3/2026;12;1,00
IÑAQUITO;111850091;1513238;QUAKER AVENA EXTRA 1 KG.;31/3/2026;12;1,00
IÑAQUITO;111750120;1513238;LA LECHERA  PACK PROMOCIONAL LECHE UHT SEMIDESCREMADA 1 LT.;31/3/2026;20;5,00
IÑAQUITO;198154899;1513238;CICLON DETERGENTE LIQUIDO CON SUAVIZANTE 3LT.;31/3/2026;4;1,00
IÑAQUITO;97601;1513238;GUSTADINA PASTA DE TOMATE BALDE 4 KG.;31/3/2026;5;5,00
IÑAQUITO;108550098;1513238;NOSOTRAS TAMPON APLICADOR REGULAR 8UN;31/3/2026;10;1,00
IÑAQUITO;135403413;1513238;PARA MI BEBE RINSE MZ 200ML (12);31/3/2026;12;1,00
IÑAQUITO;183454928;1513238;GOLDERY FUNDAS CAMISETA EXTRA FUERTES PAQ X 75 UN.;31/3/2026;6;1,00
IÑAQUITO;61796;1513238;ESTRELLA VIRUTA PARA PISOS # 8 UN.;31/3/2026;50;1,00
IÑAQUITO;67294;1513238;COLOMBINA CARAMELO MENTA HELADA 400 GR.;31/3/2026;18;1,00
IÑAQUITO;67700;1513238;MASTER GUANTE BI-COLOR DOMESTICO C-22 #9;31/3/2026;12;1,00
IÑAQUITO;205404931;1513238;ISABELLA JABON INTIMO FEMENINO PROMOCIONAL X2 250ML C/U;31/3/2026;12;1,00
IÑAQUITO;29116;1513238;PRODELSOL DESTAPADOR DE CAÑERIAS MEDIANO X 12 UN.;31/3/2026;12;1,00
IÑAQUITO;131801326;1513238;DEJA POLVO SUAV BRISA C/BIC 1.2KG;31/3/2026;10;1,00
IÑAQUITO;76641;1513238;MAGGI CALDO DE COSTILLA 84 GR X 8 UN;31/3/2026;210;1,00
IÑAQUITO;29080;1513238;LAVA CREMA LAVAVAJILLA COLOR VERDE 450 GR.;31/3/2026;18;1,00
IÑAQUITO;132801811;1513238;GUSTADINA SALSA CIRUELA 200 GR;31/3/2026;12;1,00
IÑAQUITO;37693;1513238;LUSTRE PAÑO ESPONJA X 3 UN.;31/3/2026;20;1,00
IÑAQUITO;162603015;1513238;SUAVITEL DOYPACK FRESCA PRIMAVERA 1.5 LT.;31/3/2026;8;1,00
IÑAQUITO;207604995;1513238;LA VAQUITA LECHE EN POLVO ENTERA 400GR;31/3/2026;120;4,00
IÑAQUITO;69221;1513238;EXQUISITO CHIFLES DE SAL 60 GR.;31/3/2026;12;1,00
IÑAQUITO;140103204;1513238;CASERITO ARROZ ENVEJECIDO 4LB;31/3/2026;16;1,00
IÑAQUITO;199304975;1513238;LAVATODO LAVAVAJILLA LIMÓN DOYPACK 360 ML.;31/3/2026;12;1,00
IÑAQUITO;129951528;1513238;REXONA DESODORANTE MEN AER ANTIB 90G;31/3/2026;6;1,00
IÑAQUITO;154153000;1513238;REAL SARDINA 3PACK TOMATE 156GR C/U.;31/3/2026;30;1,00
IÑAQUITO;27821;1513238;ORIENTAL TALLARIN FIDEO RAPIDITO DE POLLO 100 GR.;31/3/2026;24;1,00
IÑAQUITO;137853135;1513238;NINACURO JABON HUMECTACION PROFUNDA X 360G;31/3/2026;12;1,00
IÑAQUITO;199655100;1513238;MENTOS CARAMELO MASTICABLE DE MENTA UND;31/3/2026;14;1,00
IÑAQUITO;186055228;1513238;VITA LECHE SEMIDESCREMADA TETRAFINO 900ML;31/3/2026;12;1,00
IÑAQUITO;33002;1513238;LOS ANDES SALSA DE TOMATE 4.2 KG.;31/3/2026;4;1,00
IÑAQUITO;104290;1513238;COFFEE-MATE CREMA PARA CAFE 435 GR.;31/3/2026;12;1,00
IÑAQUITO;42371;1513238;SURF DETERGENTE UN DIA EN EL PARQUE 1 KG.;31/3/2026;12;1,00
IÑAQUITO;131801246;1513238;DEJA POLVO FLORAL C/BICARBONATO 1.2KG;31/3/2026;10;1,00
IÑAQUITO;207256513;1513238;ELVIVE CREMA DE PEINAR DREAM LISO 300ML.;31/3/2026;6;1,00
IÑAQUITO;105136;1513238;STEVIA SWEET ENDULZANTE EN GOTAS FCO 30 ML;31/3/2026;6;1,00
IÑAQUITO;133101606;1513238;AROMATEL SUAVIZ FLORAL DOYPACK 900ML;31/3/2026;10;1,00
IÑAQUITO;34815;1513238;SCOTT TOALLA DE COCINA DURAMAX 2 EN 1;31/3/2026;12;1,00
IÑAQUITO;79499;1513238;CONDIMENSA ACHIOTE EN PASTA VASO 200 GR.;31/3/2026;24;1,00
IÑAQUITO;104250215;1513238;PANOLINI PAÑAL PREMIUM SEC G X 40;31/3/2026;6;1,00
IÑAQUITO;77499;1513238;SUAVITEL 2 SUAVIZANTES SOFLAN 1 LT PRECIO ESPECIAL;31/3/2026;12;2,00
IÑAQUITO;169003514;1513238;VAN CAMPS 6PACK ATUN GIRASOL 80GR;31/3/2026;16;2,00
IÑAQUITO;47467;1513238;AXION LAVAVAJILLA CREMA LIMON 850 GR;31/3/2026;12;1,00
IÑAQUITO;95621;1513238;CRIS PASTA DE MANI FUNDA 170 GR.;31/3/2026;12;1,00
IÑAQUITO;84571;1513308;SAN CARLOS AZUCAR BLANCA 100 STICKS 500 GR;31/3/2026;120;5,00
IÑAQUITO;207604995;1513308;LA VAQUITA LECHE EN POLVO ENTERA 400GR;31/3/2026;120;4,00
IÑAQUITO;27898;1513308;MC CORMICK SALSA INGLESA FRASCO 175 GR;31/3/2026;48;2,00
IÑAQUITO;27228;1513308;SABORA AJO FUNDA 500 GR.;31/3/2026;60;5,00
IÑAQUITO;62321;1513308;ELITE SERVILLETA COCTAIL 24 X 24CM X 300 UN.;31/3/2026;96;6,00
IÑAQUITO;209855157;1513387;ORASI BEBIDA DE ALMENDRA SABOR NATURAL 1LT;31/3/2026;36;3,00
IÑAQUITO;209855165;1513387;ORASI BEBIDA DE AVELLANA 1LT;31/3/2026;12;1,00
